"App_ID,App_Name,App_Category,App_Type,Business_Function,Primary_Language,Database_Dependencies,Middleware_Dependencies,Integration_Dependencies,Data_Store_Type,Primary_Infra_ID,Integrated_Apps,Environment,Business_Unit,Vendor_Name,Criticality,SLA_Tier,Owner_Team"
"APP-HC-011,Health Information Exchange (HIE),Home Grown,Microservices,Interoperability,Java 17 / Spring Boot 3.1,PostgreSQL 15,Apache Kafka 3.2 / MuleSoft 4.5 / Nginx 1.24,HL7 FHIR R4 / REST API / SOAP / OAuth 2.0,RDBMS|Cache,INFRA-HC-004,APP-HC-001|APP-HC-002|APP-HC-008,PRODUCTION,Interoperability,N/A,Critical,Tier 1,Interoperability Team"
"APP-HC-012,Medical Supply Chain Management,Legacy,Monolithic Application,Supply Chain,Java 8 (J2EE),MySQL 8.0,JBoss EAP 6.4 / IBM MQ 9.2,SOAP / REST API / EDI X12,RDBMS,INFRA-HC-005,APP-HC-007|APP-HC-015,PRODUCTION,Supply Chain,N/A,Medium,Tier 3,Supply Chain IT"
"APP-HC-013,EHR Analytics Platform,Home Grown,Big Data Platform,Analytics,Python 3.11 / Scala 2.13 / R 4.3,MongoDB 6.0 / Cassandra 4.1,Apache Spark 3.4 / Apache Airflow 2.7 / Hadoop 3.3,JDBC / REST API / HL7 FHIR R4,NoSQL|Object|HDFS,INFRA-HC-008,APP-HC-001|APP-HC-003|APP-HC-010,PRODUCTION,Health Intelligence,N/A,Critical,Tier 1,Big Data Engineering"
"APP-HC-014,Telemedicine Platform,Home Grown,Web Application,Telehealth,React 18 / Node.js 18 / WebRTC,PostgreSQL 15,Nginx 1.24 / Redis 7.0 / Coturn 4.6,REST API / WebRTC / OAuth 2.0 / HL7 FHIR R4,RDBMS|Cache,INFRA-HC-017,APP-HC-001|APP-HC-002|APP-HC-008,DEV,Digital Health,N/A,High,Tier 2,Digital Health Team"
"APP-HC-015,Claims Processing System,Legacy,Batch Processing,Finance & Billing,COBOL / Java 11,Oracle 19c,IBM MQ 9.2 / WebLogic 12c,EDI X12 / SOAP / SFTP,RDBMS,INFRA-HC-002,APP-HC-004|APP-HC-007,PRODUCTION,Finance,N/A,Critical,Tier 1,Finance Technology"
"APP-HC-016,Nurse Workforce Management,Home Grown,Web Application,HR & Workforce,.NET 7 / C# 11,MS SQL Server 2022,IIS 10 / Redis 7.0 / Nginx 1.24,REST API / OAuth 2.0 / LDAP,RDBMS|Cache,INFRA-HC-018,APP-HC-001|APP-HC-008,TEST,Human Resources,N/A,Medium,Tier 3,HR Technology"
"APP-HC-017,Research Data Repository,Home Grown,Data Platform,Research & Development,Python 3.11 / R 4.3,PostgreSQL 15 / MongoDB 6.0,Apache NiFi 1.21 / MinIO RELEASE.2023-09,REST API / SFTP / JDBC,RDBMS|NoSQL|Object,INFRA-HC-017,APP-HC-003|APP-HC-013,DEV,Research & Innovation,N/A,Medium,Tier 3,Research IT"
"APP-HC-018,Compliance & Audit System,Home Grown,Web Application,Compliance & Regulatory,Java 17 / Angular 14,PostgreSQL 15,Spring Boot 3.1 / Nginx 1.24,REST API / OAuth 2.0 / LDAP / SFTP,RDBMS|File,INFRA-HC-004,APP-HC-001|APP-HC-007|APP-HC-015,PRODUCTION,Compliance & Risk,N/A,High,Tier 2,Compliance IT"
"APP-HC-019,Patient Discharge & Transfer System,Legacy,Monolithic Application,Clinical Operations,ASP.NET 4.8 / C# 10,MS SQL Server 2019,IIS 10 / MSMQ,SOAP / HL7 v2.8 / Windows Auth,RDBMS,INFRA-HC-018,APP-HC-001|APP-HC-006|APP-HC-008,TEST,Clinical Services,N/A,Medium,Tier 3,Clinical IT"
"APP-HC-020,Medical Device Integration Hub,Home Grown,Microservices,Clinical Operations,Java 17 / Python 3.11,Cassandra 4.1 / InfluxDB 2.7,Apache Kafka 3.2 / Apache NiFi 1.21,HL7 v2.8 / HL7 FHIR R4 / MQTT / REST API,NoSQL|Time-Series,INFRA-HC-007,APP-HC-001|APP-HC-010|APP-HC-013,PRODUCTION,Clinical Operations,N/A,Critical,Tier 1,Clinical Informatics"
