Course Id ,title,training_link,details
BM-001,Cost Optimization,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/14040/aws-partnercast-cost-optimization-technical,Introduction to Cost Optimization
BM-002,Cloud Financial Management,https://aws.amazon.com/blogs/aws-cloud-financial-management/good-intentions-dont-work-but-cost-control-mechanisms-do/;https://aws.amazon.com/blogs/aws-cloud-financial-management/cost-control-blog-series-2-automate-cost-control-using-aws-service-catalog-aws-budgets/;https://aws.amazon.com/blogs/aws-cloud-financial-management/cost-control-blog-series-3-how-to-handle-cost-shock/;https://aws.amazon.com/blogs/aws-cloud-financial-management/10-ways-to-work-with-developers-to-take-action-with-finops-cost-optimize/,Blog series related to Cloud Financial Management
BM-003,AWS Control Tower,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/13840/aws-partnercast-aws-control-tower-technical,"AWS Control Tower is a service that enables you to enforce and manage governance rules for security, operations, and compliance at scale across all your organizations and accounts in the AWS Cloud"
BM-004,Multi-Account Strategy,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/14403/aws-partnercast-migration-series-how-to-build-a-landing-zone-with-multi-account-strategy-using-ctcfct-technical,Cover building an operations-ready Landing Zone with AWS Control Tower followed by live demonstration that covers building the Landing Zone and migrating workloads
BM-005,AWS Well Architected,https://explore.skillbuilder.aws/learn/course/external/view/elearning/108/aws-well-architected-foundations,"Well-architected framework, the six pillars and design principles"
BM-006,Security and Governance,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/18374/digital-classroom-aws-security-governance-at-scale-amazon,Automating cloud governance to enhance security
BM-007,Data Lifecycle and Security,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,Automate data lifecycle for efficient cost optimisation and protect data stores
BM-008,AWS Mobilize Migration Services,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,Learn about which migration services AWS offers to automate and improve migrations within the Mobilize phase
BM-009,Modernization Pathways Accelerators,https://d1.awsstatic.com/training-and-certification/ramp-up_guides/Ramp-Up_Guide_AWS_Modernization_Pathways.pdf,"Guide includes several pathways and is not intended to be consumed entirely. Different sections tackle modernization pathways. Some resources will be less relevant to you today. The guide will help you decide where you want to start your learning journey, and which step should be your next."
BM-010,"Modern Operating Model: Dev(sec)Op, DataOps and MLOps",https://explore.skillbuilder.aws/learn/course/internal/view/elearning/14528/aws-partnercast-migration-series-how-does-devsecops-dataops-models-look-like-in-the-real-world-technical,Modern operating model building block and key considerations to establish cloud operations model
BM-011,MAP Tagging,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/14337/leveraging-automation-for-map-tagging;https://docs.aws.amazon.com/mgn/latest/ug/map-program-tagging.html,Necessary steps to successfully tag migrated assets to Amazon Web Services (AWS) according to Migration Acceleration Program (MAP) requirements
BM-012,MigOps,https://github.com/aws-samples/aws-migops-templates/tree/main/General-Migration/v1.0,AWS MigOps is a new experience and capabilities in AWS Migration Hub that streamlines migrations and helps execute migrations into AWS at scale
BM-013,Mobilize Workshop,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,Learn how to use the AWS migration services and tools in an example environment
BMM-001,AWS Application Migration service,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/1727/aws-application-migration-service-aws-mgn-a-technical-introduction?trk=e2ff50ba-b95a-4bcd-8514-6e34a3477958&sc_channel=el,"Concepts, basic architecture, and implementation approaches for AWS Application Migration Service"
BMM-002,AWS Database Migration Service,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/12667/aws-partnercast-breakfree-migrations-dms-master-class-series-session-2-of-3-technical,"AWS DMS Fleet Advisor, a new capability of AWS DMS that automates planning for AWS customers who want to migrate database and analytics workloads to the cloud"
BMM-003,AWS Migration Hub - Orchestrator,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/15995/aws-partnercast-tech-talks-migration-hub-orchestrator-technical,Migration Hub Orchestrator deep dive
BMM-004,AWS Migration Hub - Refactor Spaces,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/14208/getting-started-with-migration-hub-refactor-spaces,AWS Migration Hub Refactor Spaces is the new starting point for incremental app refactoring. Refactor Spaces can help reduce the business risk of evolving applications into microservices or extending existing applications with new features written in microservices.
BMM-005,Elasticache Serverless,https://broadcast.amazon.com/videos/909735,Introducing Amazon ElastiCache Serverless
BMM-006,Modernising Database with AWS Babelfish,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,Modernizing SQL Server to Amazon Aurora. The easy way.
BMM-007,Migrate and Modernize your Microsoft workloads on AWS,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,.NET modernization pathways and tooling
BMM-008,Cost Optimization for Microsoft Workloads,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,Creating a cost efficient environment for Microsoft workloads
BMM-009,Modernization with EKS,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,"As containers become developer mainstream, practitioners across industries are leveraging them to drive innovative solutions to the market faster, make their enterprise more agile, and help accelerate to modern cloud-native operations at scale. Learn how to use the AWS EKS service to modernize your applications."
BMM-010,Mainframe Migrate & Modernize Workshop,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,Learn how to migrate Mainframe applications to AWS. This workshop will show you how you can easily migrate applications to a performant and fault tolerant setup.
BMM-011,Migrate and Modernize Workshop,https://calendar.smartsheet.com/calendars/published/434eab0c-eb30-4965-a2bc-9bf6bd0360f6,"Explore how to migrate applications to AWS, four-phase migration process, automation tools and services to accelerate your application(s) and data center migrations."
